id;type;amount;due_date;status;created_by;rental_id
1;MAINTAIN;24070.34;2025-02-26T16:59:00;OVERDUE;7974;1
2;LEASE;27255.8;2025-02-26T18:30:23;IN_REVIEW;15023;2
3;LEASE;14552.47;2025-02-25T23:50:02;OVERDUE;21409;3
4;MAINTAIN;20447.83;2025-02-26T17:01:58;PAID;30823;4
5;INSTALLMENT_PAYMENT;12570.97;2025-02-25T23:23:21;PENDING;11315;5
6;INSTALLMENT_PAYMENT;9939.36;2025-02-26T10:04:04;PENDING;23526;6
7;MAINTAIN;29996.03;2025-02-26T19:01:29;PAID;31186;7
8;LEASE;3892.09;2025-02-26T19:57:35;PAID;8262;8
9;MAINTAIN;2306.44;2025-02-26T01:31:58;PENDING;18615;9
10;MAINTAIN;26152.95;2025-02-26T11:49:11;IN_REVIEW;590;10
