id;name;budget;amount;probability;expected_close_date;stage;description;created_at;modified_at;closed_at;created_by;customer_id
1;readily phooey;14101.39;7942.9;10;2025-02-26;PROPOSAL;../fake-data/blob/hipster.txt;2025-02-26T05:00:26;2025-02-26T13:07:54;2025-02-26T22:12:01;11137;1
2;mmm;21703.58;22094.22;42;2025-02-26;CLOSED_LOST;../fake-data/blob/hipster.txt;2025-02-25T23:04:59;2025-02-26T21:27:56;2025-02-26T02:37:24;23039;2
3;supposing pish;29465.76;19483.04;21;2025-02-26;CLOSED_LOST;../fake-data/blob/hipster.txt;2025-02-26T19:57:19;2025-02-26T08:42:35;2025-02-26T13:23:47;29090;3
4;council;30617.01;28576.6;46;2025-02-26;QUALIFICATION;../fake-data/blob/hipster.txt;2025-02-26T12:45:11;2025-02-26T05:59:04;2025-02-26T14:43:53;19485;4
5;pluck absent;27954.96;10224.25;73;2025-02-26;CLOSED_WON;../fake-data/blob/hipster.txt;2025-02-26T05:41:32;2025-02-26T06:30:20;2025-02-26T01:11:12;30606;5
6;who outside;13573.22;3106.38;23;2025-02-26;PROSPECTING;../fake-data/blob/hipster.txt;2025-02-26T08:16:29;2025-02-26T22:33:08;2025-02-26T16:02:48;19276;6
7;confirm through cannibalise;16054.74;15790.71;53;2025-02-26;CLOSED_LOST;../fake-data/blob/hipster.txt;2025-02-26T01:07:19;2025-02-26T22:57:52;2025-02-26T04:54:47;8914;7
8;phooey;5785.41;6814.1;89;2025-02-26;PROSPECTING;../fake-data/blob/hipster.txt;2025-02-26T05:23:40;2025-02-26T21:59:04;2025-02-26T09:11:32;2001;8
9;until shameless;9770.92;854.27;49;2025-02-26;QUALIFICATION;../fake-data/blob/hipster.txt;2025-02-26T00:17:56;2025-02-26T21:09:47;2025-02-26T06:25:46;15262;9
10;except;22405.14;16019.94;20;2025-02-26;QUALIFICATION;../fake-data/blob/hipster.txt;2025-02-26T19:11:43;2025-02-26T04:50:45;2025-02-26T22:14:01;11192;10
