id;amount;payment_date;payment_method;reference;created_by;rental_id
1;17757;2025-02-26T19:11:47;TRANSFER;under meanwhile;12576;1
2;12599.51;2025-02-26T01:34:54;CASH;terribly going;18472;2
3;18486.93;2025-02-26T16:43:00;TRANSFER;concerned;29251;3
4;13113.54;2025-02-26T22:46:48;TRANSFER;matter nightlife;21528;4
5;27344.02;2025-02-26T05:17:27;TRANSFER;fortunately veto liberalize;5732;5
6;23204.37;2025-02-26T07:42:44;CASH;given free;24233;6
7;31656.89;2025-02-26T17:25:05;CARD;adjourn;29996;7
8;30464.53;2025-02-26T05:51:03;CARD;uh-huh;27545;8
9;25724.29;2025-02-25T23:34:07;CARD;gosh yuck;15348;9
10;23286.9;2025-02-26T09:19:33;CASH;dress while;5037;10
