id;name;code_name;type;operation_type;location;city;state;postal_code;price;rental_price;area;bedrooms;bathrooms;appreciation_rate;features;status;images;created_by
1;cleverly hype gracious;fuel;daily independence quintuple;LEASE;weird;Santa Coloma de Gramanet;loudly;before shush tributary;3230.65;18435.66;25807;18061;2828;32043.3;pfft;LEASED;aw seemingly oh;2987
2;ugh efface;mmm sizzle awesome;vivid;SALES;naturally up;Lorca;soupy;uh-huh snack;4245.47;7475.84;18183;21808;12967;27250.87;hydrant willfully after;SOLD;where plagiarise elderly;9996
3;instead bestride vastly;but ouch;huff;SALES;haunting;Baracaldo;prudent impartial oxidise;hm;22338.87;7967.14;32058;7499;11757;9481.82;skyscraper;AVAILABLE;pharmacopoeia after beneficial;2251
4;insist at after;after or;lone;SALES;finding;Ceuta;relative timely;advancement yahoo;24859.33;24021.85;16843;8821;15116;1995.19;boulevard;AVAILABLE;rise gladly;3112
5;eyebrow popularize;markup headline inborn;fleck;SALES;rejoin consequently commemorate;Orihuela;geez colorfully than;stir-fry;5153.13;28278.29;25736;7023;4132;6621.68;phony fishery amend;LEASED;fortunately;25248
6;zowie carouse;gee yuck or;slow so;SALES;blaspheme gee;Vigo;upward;woot substantiate;8754.14;30020.95;19869;1061;17571;26130.38;bah ew;AVAILABLE;rationalize completion if;19586
7;yawningly;officially milky;fooey always;LEASE;nor;Coslada;rival gosh;as hidden;9795.51;30689;1373;16521;23830;28544.06;yet yum unit;AVAILABLE;strident while now;26640
8;possession grounded;impact minus;merge utilization below;LEASE;wonderfully;Huelva;yowza possession upsell;gee;10947.97;31088.02;21081;12930;9113;26803.87;flight;AVAILABLE;hence;21611
9;but;headline;undergo outside;SALES;taut recklessly trusty;Segovia;gee woot biodegradable;supposing harp;19698.07;7890.86;9019;13675;7156;9657.99;loftily degenerate tattered;SOLD;ack straight why;5368
10;swiftly potentially;institutionalize;throughout;SALES;openly badly;San Fernando;for yarmulke;larva of serpentine;15063.69;30908.02;17308;19739;20344;31672.6;on amid;AVAILABLE;aw;24935
