id;final_price;validity_date;comments;created_by
1;23918.86;2025-02-26T19:33:32;fooey;31934
2;24664.48;2025-02-26T12:59:33;enrage than extroverted;18921
3;9797.04;2025-02-25T23:24:15;mathematics;21340
4;4730.47;2025-02-26T05:52:51;easily lock;8039
5;10692.78;2025-02-26T02:16:35;serene till;24431
6;17180.81;2025-02-26T15:30:02;vice deliquesce;2185
7;25526.62;2025-02-26T15:57:21;supposing aboard ugh;27490
8;12636.83;2025-02-26T18:14:56;till;14186
9;27825.1;2025-02-26T21:38:09;cruelly posh carefully;19611
10;25017.35;2025-02-26T15:04:40;alert loyally;4001
