id;start_date;end_date;monthly_rent;security_deposit;contract_status;created_by
1;2025-02-26T10:47:04;2025-02-26T20:34:35;2057.29;19851.94;CANCELED;31135
2;2025-02-26T07:58:40;2025-02-26T03:23:51;22298.82;16158.26;FINISHED;3898
3;2025-02-26T03:47:21;2025-02-26T10:40:05;17588.28;28101.3;FINISHED;31114
4;2025-02-26T18:33:35;2025-02-26T22:49:02;32473.99;16289.28;ACTIVE;29696
5;2025-02-26T11:47:02;2025-02-26T18:17:41;29429.88;11618.28;FINISHED;10724
6;2025-02-26T07:28:22;2025-02-26T18:39:42;27495.84;19962.14;CANCELED;5172
7;2025-02-26T16:12:07;2025-02-26T18:16:04;15839;17246.53;CANCELED;24138
8;2025-02-26T13:55:52;2025-02-26T21:45:47;12994.59;523.1;ACTIVE;32280
9;2025-02-26T02:31:04;2025-02-26T21:12:42;5878.16;18338.3;FINISHED;3331
10;2025-02-26T05:42:52;2025-02-26T13:10:13;10653.83;25858.12;FINISHED;13196
