id;property_id;customer_id;oportunity_id;sale_date;total_amount;status
1;31788;17296;10925;2025-02-26T06:49:41;15070.15;PENDING
2;23908;26003;16100;2025-02-26T02:52:43;3268.59;COMPLETED
3;24741;6314;16525;2025-02-26T21:23:34;31482.15;CANCELLED
4;8559;11029;14814;2025-02-25T23:08:26;22755.66;CANCELLED
5;22155;23574;12876;2025-02-26T17:44:32;13950.16;PENDING
6;17552;6136;29066;2025-02-26T08:36:55;20678.85;CANCELLED
7;3187;5141;31284;2025-02-25T23:13:19;24757.02;CANCELLED
8;20823;29073;5449;2025-02-26T04:56:04;5321.42;PENDING
9;15301;16878;5781;2025-02-26T02:51:19;20822.56;PENDING
10;19253;17380;14078;2025-02-26T18:11:44;9655.33;CANCELLED
