id;type;amount;due_date;status;rental_id
1;OTHER;9798.2;2025-02-25T14:46:42;IN_REVIEW;1
2;MAINTAIN;20120.66;2025-02-25T19:29:23;PENDING;2
3;MAINTAIN;6499.13;2025-02-25T16:23:19;PENDING;3
4;LEASE;18926.8;2025-02-25T09:42:29;IN_REVIEW;4
5;INSTALLMENT_PAYMENT;11619.77;2025-02-25T14:17:46;OVERDUE;5
6;MAINTAIN;21269.24;2025-02-25T07:26:36;OVERDUE;6
7;OTHER;15859.46;2025-02-26T03:44:22;OVERDUE;7
8;INSTALLMENT_PAYMENT;16523.45;2025-02-25T08:58:28;OVERDUE;8
9;OTHER;7300.69;2025-02-25T19:40:51;PAID;9
10;INSTALLMENT_PAYMENT;6544.91;2025-02-25T21:04:30;PENDING;10
