id;amount;payment_date;payment_method;reference;rental_id
1;23650.08;2025-02-25T11:28:59;TRANSFER;blah;1
2;8398.27;2025-02-25T17:56:25;CARD;spirit row;2
3;7013.35;2025-02-26T01:09:43;CARD;louse railway;3
4;259.16;2025-02-26T02:39:24;CARD;shore giant whopping;4
5;1963.02;2025-02-25T23:52:26;TRANSFER;underplay;5
6;14.65;2025-02-25T21:28:23;CASH;flimsy disapprove;6
7;22191.38;2025-02-25T16:56:17;TRANSFER;ostrich silent yet;7
8;27702.86;2025-02-26T05:25:54;CASH;zowie sophisticated why;8
9;28958.19;2025-02-26T02:14:30;CARD;firsthand unless;9
10;27651.74;2025-02-25T17:38:36;TRANSFER;often armoire;10
