id;property_id;customer_id;oportunity_id;start_date;end_date;monthly_rent;security_deposit;contract_status
1;31208;26810;1711;2025-02-25T23:37:12;2025-02-25T16:18:33;30992.51;21075.23;CANCELED
2;30985;19981;31159;2025-02-26T04:25:35;2025-02-26T04:15:44;12095.72;10402.6;CANCELED
3;15606;29587;17102;2025-02-25T17:40:02;2025-02-25T16:40:20;14302.36;11709.61;CANCELED
4;10899;18377;26393;2025-02-25T10:11:12;2025-02-25T16:31:45;18666.62;13938.34;ACTIVE
5;14710;24013;23645;2025-02-26T03:39:52;2025-02-25T08:29:15;9580.28;30020.77;FINISHED
6;7576;3928;12995;2025-02-25T20:46:09;2025-02-25T11:30:43;16525.12;18043.22;FINISHED
7;28788;31208;322;2025-02-25T18:17:32;2025-02-25T06:08:42;24443.99;11872.85;CANCELED
8;31194;27000;9084;2025-02-25T22:28:36;2025-02-25T19:13:43;12349.54;13270.81;CANCELED
9;30386;18490;32701;2025-02-26T02:35:39;2025-02-25T07:26:43;10688.5;13336.64;FINISHED
10;28662;20391;24823;2025-02-25T05:59:44;2025-02-26T00:51:56;26675.11;14876.1;CANCELED
