id;property_id;customer_id;oportunity_id;sale_date;total_amount;status
1;24759;12617;12125;2025-02-26T03:04:53;17568.76;COMPLETED
2;21337;9093;10355;2025-02-25T12:18:52;16886.91;PENDING
3;21637;30684;25371;2025-02-25T21:14:18;23265.65;CANCELLED
4;16745;24465;2991;2025-02-25T11:34:01;215.04;COMPLETED
5;4045;14906;15032;2025-02-25T20:10:40;10352.61;CANCELLED
6;7017;20571;15794;2025-02-25T09:00:08;17076.39;CANCELLED
7;23612;6970;23012;2025-02-26T01:49:50;23329.72;PENDING
8;16557;3985;1759;2025-02-26T00:45:10;27204.88;PENDING
9;7982;5378;4950;2025-02-25T21:08:45;6992.17;COMPLETED
10;26760;16513;21804;2025-02-25T19:23:58;7770.97;PENDING
