id;type;amount;due_date;status;rental_contract_id
1;INSTALLMENT_PAYMENT;12083.18;2025-02-12T03:43:35;PENDING;1
2;OTHER;29883.04;2025-02-12T23:15:53;IN_REVIEW;2
3;MAINTAIN;29052.66;2025-02-12T06:54:38;PAID;3
4;LEASE;12185.96;2025-02-12T01:13:33;PAID;4
5;INSTALLMENT_PAYMENT;2595.25;2025-02-12T14:09:45;OVERDUE;5
6;LEASE;18527.36;2025-02-12T11:21:57;PENDING;6
7;OTHER;11560.3;2025-02-12T02:14:29;OVERDUE;7
8;LEASE;9269.81;2025-02-12T19:40:40;IN_REVIEW;8
9;MAINTAIN;19499.86;2025-02-12T15:19:06;IN_REVIEW;9
10;LEASE;5667.17;2025-02-12T18:42:03;IN_REVIEW;10
