id;customer_message;chatbot_response;timestamp
1;correctly;ha haze;2025-02-12T07:45:40
2;zowie;usually bonnet relaunch;2025-02-12T23:06:43
3;fedora pish pinion;accompany so procrastinate;2025-02-12T03:49:15
4;yippee;till phrase gladly;2025-02-12T09:56:01
5;until whose;worriedly;2025-02-12T18:58:14
6;forsaken gah;which;2025-02-12T16:13:59
7;flawless officially coil;drat outlaw aching;2025-02-12T22:03:46
8;pleased whoever if;detain unto vivaciously;2025-02-12T06:52:44
9;even;confound expensive;2025-02-12T08:41:05
10;chromakey fantastic;qua loyalty;2025-02-12T22:54:59
