id;name;type;distance;coordinates;property_id
1;whose thick divert;but;19339.36;stale when;1
2;settler row;meh when around;32144.33;carnival hence whereas;2
3;incidentally supportive concerning;gosh superb loftily;14644.27;apud;3
4;ack;besides whoa along;6149.43;sour;4
5;vain worthwhile scowl;out plagiarise;3852.3;given despite;5
6;how;when fooey;23326.39;jaggedly;6
7;venture more where;since haunting meanwhile;23424.95;aha shore segregate;7
8;apropos;amid drat;28577.58;following daily;8
9;as thoughtfully ridge;premeditation;10386.36;edge;9
10;pace;likewise a psst;27039.33;as so restructure;10
