id;amount;payment_date;payment_method;reference;rentral_contract_id
1;21076.34;2025-02-12T21:48:04;CASH;acknowledge bah;1
2;22002.55;2025-02-12T14:00:37;TRANSFER;aw outnumber absentmindedly;2
3;654.49;2025-02-12T11:43:39;TRANSFER;gosh weird even;3
4;18542.44;2025-02-12T20:56:48;CASH;off;4
5;6263.72;2025-02-12T03:01:17;CASH;colorfully;5
6;9521.98;2025-02-12T01:53:39;TRANSFER;hm what of;6
7;4863.97;2025-02-12T04:17:43;CASH;poorly excepting provider;7
8;12590.15;2025-02-12T06:24:30;CASH;subsidy off;8
9;11278.08;2025-02-12T05:44:51;CASH;construe enfold during;9
10;29953.24;2025-02-12T20:50:51;TRANSFER;considering;10
