id;name;code_name;type;operation_type;location;city;state;postal_code;price;rental_price;area;bedrooms;bathrooms;appreciation_rate;features;status;images
1;actual tennis;cultivated but;whenever bleak;SALES;ha misjudge;Córdoba;whereas sport per;boldly;28917.55;32271.91;28131;5867;11937;31931.53;sport oh yippee;LEASED;pish
2;mantua lovingly;tankful oily parallel;kookily;LEASE;next afore politely;Santa Lucía de Tirajana;into decriminalize despite;barring;10165.63;10051.18;14874;14754;14680;13048.43;chubby;LEASED;muted traffic
3;youthfully helpfully since;yippee avalanche;out;LEASE;bah ha;Valladolid;yippee necklace illustrious;plugin violently;383.7;4230.69;13721;5934;29214;9449.41;crafty outrun whereas;AVAILABLE;boldly
4;quarrelsome offensively tail;but regularly gifted;lined formal including;SALES;vastly because;Zamora;overconfidently pfft blah;oh soon foolishly;9726.8;32624.26;7921;27762;30263;10081.94;because majestically;AVAILABLE;so meanwhile
5;seafood regarding;mispronounce distinction ick;technologist neck;LEASE;ugh segregate;Gandía;devoted infinite which;about;12364.63;31185.63;26983;6810;9875;19658.11;steeple extremely;LEASED;so
6;eggplant confiscate limply;alongside marten;expatiate suspiciously;LEASE;sharply;Vigo;throughout phew aha;notarize;1835.63;8567.13;11214;17169;24242;20350.25;frightfully;AVAILABLE;verbally
7;pip finally;dash gadzooks white;concerning meh;LEASE;kettledrum;Santa Lucía de Tirajana;boohoo yet;phooey solemnly;27312.11;29526.27;15670;15026;15087;24727.14;shanghai;SOLD;lest wriggler weep
8;moor jump biodegrade;mmm;yet;SALES;forecast;Cáceres;at blank strictly;eventually;5170.94;1234.67;31599;4131;8667;8175.58;valiantly chime;SOLD;aha
9;designation terribly;however;amidst chubby;SALES;redress armoire ouch;San Fernando;woefully;some wonderfully;8988.8;16394.24;11110;24275;19697;14693.02;quinoa blindly upright;SOLD;typewriter cycle submissive
10;velocity faithfully;yet;outgoing as;LEASE;stack flawless;Sagunto;charm abscond;muddy dapper;6701.02;31592.29;2316;23078;24117;12392.64;supposing;AVAILABLE;home whether dally
