id;final_price;validity_date;comments
1;7033.25;2025-02-12T18:05:30;nautical when
2;6414.47;2025-02-12T15:40:49;snow ick excepting
3;23918.1;2025-02-12T09:45:59;confused growing
4;8594.73;2025-02-12T10:18:47;for tomb
5;26651.24;2025-02-12T13:43:39;reproachfully joyously
6;11721.92;2025-02-12T12:30:26;collaboration
7;12289.61;2025-02-12T10:42:25;boring
8;20114.65;2025-02-12T19:14:02;brr scaffold and
9;23973.54;2025-02-12T20:14:03;incidentally whether yet
10;31802.58;2025-02-12T14:10:48;hence throughout
