id;start_date;end_date;monthly_rent;security_deposit;status
1;2025-02-12T03:02:47;2025-02-12T07:48:18;505.84;11955.98;ACTIVE
2;2025-02-12T03:15:16;2025-02-12T05:25:01;26187.38;21555.19;FINISHED
3;2025-02-12T08:39:04;2025-02-12T17:12:19;6480.37;5840.7;FINISHED
4;2025-02-12T05:24:03;2025-02-12T16:57:50;10753.98;28043.74;ACTIVE
5;2025-02-12T15:17:12;2025-02-12T20:21:00;4407.25;10889.79;ACTIVE
6;2025-02-12T07:20:05;2025-02-12T15:43:04;26949.16;19366.8;CANCELED
7;2025-02-12T07:38:19;2025-02-12T01:02:16;16479.16;22159.41;CANCELED
8;2025-02-12T19:28:29;2025-02-12T15:12:55;12833.45;14052.35;FINISHED
9;2025-02-12T14:56:32;2025-02-12T01:07:23;29621.06;17345.3;CANCELED
10;2025-02-12T17:01:25;2025-02-12T18:18:42;20264.68;28656.27;CANCELED
